Company Name,Ticker Symbol
ABB India Limited,ABB
AEGIS LOGISTICS LTD.,AEGISLOG
AMARA RAJA BATTERIES LTD.,AMARAJABAT
AMBALAL SARABHAI ENTERPRISES LTD.,AMBALALSA
HOUSING DEVELOPMENT FINANCE CORP.LTD.,HDFC
ANDHRA PETROCHEMICALS LTD.,ANDHRAPET
ANSAL PROPERTIES & INFRASTRUCTURE LTD.,ANSALAPI
Utique Enterprises Ltd,UTIQUE
ARUNA HOTELS LTD.,ARUNAHTEL
BOMBAY DYEING & MFG.CO.LTD.,BOMDYEING
Asian Hotels (North) Limited,ASIANHOTNR
ATUL LTD.,ATUL
ATV PROJECTS INDIA LTD.,ATVPR
BAJAJ ELECTRICALS LTD.-$,BAJAJELEC
Bajaj Hindusthan Sugar Limited,BAJAJHIND
FORCE MOTORS LTD.-$,FORCEMOT
Bajaj Finance Limited,BAJFINANCE
BALRAMPUR CHINI MILLS LTD.,BALRAMCHIN*
BANCO PRODUCTS (INDIA) LTD.-$,BANCOINDIA
CENTURY TEXTILES & INDUSTRIES LTD.,CENTURYTEX
BANNARI AMMAN SUGARS LTD.,BANARISUG
BASF INDIA LTD.,BASF
BATA INDIA LTD.,BATAINDIA
BEML LTD.,BEML
BHARAT ELECTRONICS LTD.,BEL
BHANSALI ENGINEERING POLYMERS LTD.-$,BEPL
Tata Steel Bsl Ltd,TATASTLBSL
BIHAR SPONGE IRON LTD.,BIHSPONG
Birla Cable Ltd,BIRLACABLE
BLUE STAR LTD.,BLUESTARCO
DISA INDIA LTD.,DISAQ
BNK CAPITAL MARKETS LTD.,BNKCAP
BPL LTD.,BPL
Oriental Aromatics Ltd-$,OAL
CENTURY EXTRUSIONS LTD.,CENTEXT
CESC LTD.,CESC
CHAMBAL FERTILISERS & CHEMICALS LTD.,CHAMBLFERT
EXIDE INDUSTRIES LTD.,EXIDEIND
CIPLA LTD.,CIPLA
DIC INDIA LTD.,DICIND
CRISIL LTD.,CRISIL
CG Power and Industrial Solutions Ltd,CGPOWER
DABUR INDIA LTD.,DABUR
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG
ARVIND LTD.,ARVIND
BALLARPUR INDUSTRIES LTD.,BALLARPUR
BHARAT HEAVY ELECTRICALS LTD.,BHEL
HINDUSTAN PETROLEUM CORPORATION LTD.,HINDPETRO
IFCI LTD.,IFCI
MAHANAGAR TELEPHONE NIGAM LTD.,MTNL
MANGALORE REFINERY & PETROCHEMICALS LTD.,MRPL
CHENNAI PETROLEUM CORPORATION LTD.,CHENNPETRO
RELIANCE CAPITAL LTD.,RELCAPITAL
STATE BANK OF INDIA,SBIN
STEEL AUTHORITY OF INDIA LTD.,SAIL
Titan Company Limited,TITAN
IDBI BANK LTD.,IDBI
DCW LTD.,DCW
DHAMPUR SUGAR MILLS LTD.,DHAMPURSUG
DIAMINES & CHEMICALS LTD.-$,DIAMINESQ
ELANTAS BECK INDIA LTD.-$,ELANTAS
DR.REDDY'S LABORATORIES LTD.,DRREDDY
E.I.D.-PARRY (INDIA) LTD.,EIDPARRY
Procter & Gamble Health Ltd,PGHL
ELECTROSTEEL CASTINGS LTD.,ELECTCAST
ESAB INDIA LTD.,ESABINDIA
EPL Ltd,EPL
ESTER INDUSTRIES LTD.,ESTER
PH CAPITAL LTD.,PHCAP
FINOLEX CABLES LTD.,FINCABLES
John Cockerill India Ltd-$,COCKERILL
UFLEX LTD.,UFLEX
FOSECO INDIA LTD.,FOSECOIND
GOLDEN TOBACCO LTD.,GOLDENTOBC
GANESH BENZOPLAST LTD.,GANESHBE
Metroglobal Limited,METROGLOBL
GTL LTD.,GTL
GODFREY PHILLIPS INDIA LTD.,GODFRYPHLP
GODREJ INDUSTRIES LTD.,GODREJIND
KANSAI NEROLAC PAINTS LTD.,KANSAINER
GOODRICKE GROUP LTD.,GOODRICKE
GOODYEAR INDIA LTD.,GOODYEAR
GTN INDUSTRIES LTD.,GTNINDS
GHCL LTD.,GHCL
GFL Ltd,GFLLIMITED
GUJARAT LEASE FINANCING LTD.,GLFL
HCL INFOSYSTEMS LTD.,HCL-INSYS
HDFC Bank Ltd,HDFCBANK
HERO MOTOCORP LTD.,HEROMOTOCO
HFCL Ltd,HFCL
Himadri Speciality Chemical Ltd,HSCL
HINDUSTAN CONSTRUCTION CO.LTD.,HCC
HINDUSTAN OIL EXPLORATION CO.LTD.,HINDOILEXP
HSIL LTD.,HSIL
HINDUSTAN ZINC LTD.,HINDZINC
