name,symbol,added_date
ABB India Limited,ABB,2021-10-05
AEGIS LOGISTICS LTD.,AEGISLOG,2021-10-05
AMARA RAJA BATTERIES LTD.,AMARAJABAT,2021-10-05
AMBALAL SARABHAI ENTERPRISES LTD.,AMBALALSA,2021-10-05
HOUSING DEVELOPMENT FINANCE CORP.LTD.,HDFC,2021-10-05
ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,2021-10-05
ANSAL PROPERTIES & INFRASTRUCTURE LTD.,ANSALAPI,2021-10-05
Utique Enterprises Ltd,UTIQUE,2021-10-05
ARUNA HOTELS LTD.,ARUNAHTEL,2021-10-05
BOMBAY DYEING & MFG.CO.LTD.,BOMDYEING,2021-10-05
Asian Hotels (North) Limited,ASIANHOTNR,2021-10-05
ATUL LTD.,ATUL,2021-10-05
ATV PROJECTS INDIA LTD.,ATVPR,2021-10-05
BAJAJ ELECTRICALS LTD.-$,BAJAJELEC,2021-10-05
Bajaj Hindusthan Sugar Limited,BAJAJHIND,2021-10-05
FORCE MOTORS LTD.-$,FORCEMOT,2021-10-05
Bajaj Finance Limited,BAJFINANCE,2021-10-05
BALRAMPUR CHINI MILLS LTD.,BALRAMCHIN*,2021-10-05
BANCO PRODUCTS (INDIA) LTD.-$,BANCOINDIA,2021-10-05
CENTURY TEXTILES & INDUSTRIES LTD.,CENTURYTEX,2021-10-05
BANNARI AMMAN SUGARS LTD.,BANARISUG,2021-10-05
BASF INDIA LTD.,BASF,2021-10-05
BATA INDIA LTD.,BATAINDIA,2021-10-05
BEML LTD.,BEML,2021-10-05
BHARAT ELECTRONICS LTD.,BEL,2021-10-05
BHANSALI ENGINEERING POLYMERS LTD.-$,BEPL,2021-10-05
Tata Steel Bsl Ltd,TATASTLBSL,2021-10-05
BIHAR SPONGE IRON LTD.,BIHSPONG,2021-10-05
Birla Cable Ltd,BIRLACABLE,2021-10-05
BLUE STAR LTD.,BLUESTARCO,2021-10-05
DISA INDIA LTD.,DISAQ,2021-10-05
BNK CAPITAL MARKETS LTD.,BNKCAP,2021-10-05
BPL LTD.,BPL,2021-10-05
Oriental Aromatics Ltd-$,OAL,2021-10-05
CENTURY EXTRUSIONS LTD.,CENTEXT,2021-10-05
CESC LTD.,CESC,2021-10-05
CHAMBAL FERTILISERS & CHEMICALS LTD.,CHAMBLFERT,2021-10-05
EXIDE INDUSTRIES LTD.,EXIDEIND,2021-10-05
CIPLA LTD.,CIPLA,2021-10-05
DIC INDIA LTD.,DICIND,2021-10-05
CRISIL LTD.,CRISIL,2021-10-05
CG Power and Industrial Solutions Ltd,CGPOWER,2021-10-05
DABUR INDIA LTD.,DABUR,2021-10-05
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,2021-10-05
ARVIND LTD.,ARVIND,2021-10-05
BALLARPUR INDUSTRIES LTD.,BALLARPUR,2021-10-05
BHARAT HEAVY ELECTRICALS LTD.,BHEL,2021-10-05
HINDUSTAN PETROLEUM CORPORATION LTD.,HINDPETRO,2021-10-05
IFCI LTD.,IFCI,2021-10-05
MAHANAGAR TELEPHONE NIGAM LTD.,MTNL,2021-10-05
MANGALORE REFINERY & PETROCHEMICALS LTD.,MRPL,2021-10-05
CHENNAI PETROLEUM CORPORATION LTD.,CHENNPETRO,2021-10-05
RELIANCE CAPITAL LTD.,RELCAPITAL,2021-10-05
STATE BANK OF INDIA,SBIN,2021-10-05
STEEL AUTHORITY OF INDIA LTD.,SAIL,2021-10-05
Titan Company Limited,TITAN,2021-10-05
IDBI BANK LTD.,IDBI,2021-10-05
DCW LTD.,DCW,2021-10-05
DHAMPUR SUGAR MILLS LTD.,DHAMPURSUG,2021-10-05
DIAMINES & CHEMICALS LTD.-$,DIAMINESQ,2021-10-05
ELANTAS BECK INDIA LTD.-$,ELANTAS,2021-10-05
DR.REDDY'S LABORATORIES LTD.,DRREDDY,2021-10-05
E.I.D.-PARRY (INDIA) LTD.,EIDPARRY,2021-10-05
Procter & Gamble Health Ltd,PGHL,2021-10-05
ELECTROSTEEL CASTINGS LTD.,ELECTCAST,2021-10-05
ESAB INDIA LTD.,ESABINDIA,2021-10-05
EPL Ltd,EPL,2021-10-05
ESTER INDUSTRIES LTD.,ESTER,2021-10-05
PH CAPITAL LTD.,PHCAP,2021-10-05
FINOLEX CABLES LTD.,FINCABLES,2021-10-05
John Cockerill India Ltd-$,COCKERILL,2021-10-05
UFLEX LTD.,UFLEX,2021-10-05
FOSECO INDIA LTD.,FOSECOIND,2021-10-05
GOLDEN TOBACCO LTD.,GOLDENTOBC,2021-10-05
GANESH BENZOPLAST LTD.,GANESHBE,2021-10-05
Metroglobal Limited,METROGLOBL,2021-10-05
GTL LTD.,GTL,2021-10-05
GODFREY PHILLIPS INDIA LTD.,GODFRYPHLP,2021-10-05
GODREJ INDUSTRIES LTD.,GODREJIND,2021-10-05
KANSAI NEROLAC PAINTS LTD.,KANSAINER,2021-10-05
GOODRICKE GROUP LTD.,GOODRICKE,2021-10-05
GOODYEAR INDIA LTD.,GOODYEAR,2021-10-05
GTN INDUSTRIES LTD.,GTNINDS,2021-10-05
GHCL LTD.,GHCL,2021-10-05
GFL Ltd,GFLLIMITED,2021-10-05
GUJARAT LEASE FINANCING LTD.,GLFL,2021-10-05
HCL INFOSYSTEMS LTD.,HCL-INSYS,2021-10-05
HDFC Bank Ltd,HDFCBANK,2021-10-05
